id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,首页太大，不能一屏显示完整的页面。,首页太大，不能一屏显示完整的页面。需要来回拨屏，不方便使用。,审核通过,21,2015-12-29 11:28:00
2,打开app后，即闪退，不能进行后续测试,"打开app后，即闪退，不能进行后续测试
打开app后，即闪退，不能进行后续测试",审核不通过,14,2015-12-29 11:30:06
3,打开后，显示一会就会程序停止运行，无法进行进一步测试,打开后，显示一会就会程序停止运行，无法进行进一步测试,审核通过,14,2015-12-29 11:30:26
4,首页，提示与基金代码处覆盖重叠，界面错乱,首页，提示与基金代码处覆盖重叠，界面错乱.............,审核通过,12,2015-12-29 11:31:00
5,界面错乱，右侧的曲线生成选择的界面显示的不正常，特别乱，疑似版面有问题，好像背景透明，测试的手机是小米4，结果看截图,界面错乱，右侧的曲线生成选择的界面显示的不正常，特别乱，疑似版面有问题，好像背景透明，测试的手机是小米4，结果看截图,审核通过,9,2015-12-29 11:31:19
6,主界面的网页有问题，不能按手机屏幕的尺寸缩放，如果想看整体的页面还必须滴手动放缩，很不好，建议开发手机的网页嵌入，效果见截图,主界面的网页有问题，不能按手机屏幕的尺寸缩放，如果想看整体的页面还必须滴手动放缩，很不好，建议开发手机的网页嵌入，效果见截图,审核通过,19,2015-12-29 11:32:07
7,界面打开后出现字体重叠的现象,界面打开后出现字体重叠的现象，具体的情况可以参见图片,审核通过,6,2015-12-29 11:32:17
8,"打开app,首页无法正常显示，只能显示出部分页面。","打开app,首页无法正常显示，只能显示出部分页面。",审核不通过,21,2015-12-29 11:32:26
9,在注册页面，没有返回主页的按钮，按手机返回键，就直接退出了。,在注册页面，没有返回主页的按钮，按手机返回键，就直接退出了,审核通过,13,2015-12-29 11:32:33
10,界面混乱不堪，完全没法使用，找不到如何查看曲线图，效果如截图所示,"界面混乱不堪，完全没法使用，找不到如何查看曲线图，效果如截图所示
手机 红米2 系统安卓4.4.4",审核不通过,9,2015-12-29 11:32:40
