id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,在发现首页话题广场栏目下很多子栏目的图标显示不出来比如会议活动就业求职等,在发现首页话题广场栏目下很多子栏目的图标显示不出来比如会议活动就业求职等,审核通过,8,2015-12-25 20:19:15
2,在发现栏目下药师热议项目为空白加载不出任何内容,在发现栏目下药师热议项目为空白加载不出任何内容,审核通过,7,2015-12-25 20:19:15
3,在发现栏目点击药师360精彩药师生活能够跳转到子页面但是图片无法加载,在发现栏目点击药师360精彩药师生活能够跳转到子页面但是图片无法加载,审核通过,7,2015-12-25 20:19:15
4,一登录百度微任务二登录移动项目测试三点击药师360下载安装四登录药师360添加测试账号18610812298密码123456五药师360闪退,一登录百度微任务二登录移动项目测试三点击药师360下载安装四登录药师360添加测试账号18610812298密码123456五药师360闪退,审核通过,11,2015-12-25 20:23:08
5,打开软件输入帐号密码点击登录一直停留在登录页面进不去,打开软件输入帐号密码点击登录一直停留在登录页面进不去,审核通过,5,2015-12-25 20:44:13
6,将页面内容分享至微信时不会提示分享成功,1打开APP2成功登录3进入首页打开页面进入详情页分享至微信,审核通过,4,2015-12-25 20:46:55
7,在评论框中输入空格也能评论成功,1打开APP2成功登录3进入页面的详情页评论输入空格,审核通过,2,2015-12-25 20:46:55
8,点击进入药学科研查看里面发布的内容里面的图片打开时无法正常显示,1打开APP2成功登录3点击进入药学科研查看发布的内容点击大图查看图片,审核通过,10,2015-12-25 20:46:55
9,将药学科研里面的内容分享至微博还没有点击发送就显示分享成功,1打开APP2成功登录3点击药学科研打开发表内容分享至微博,审核通过,4,2015-12-25 20:46:55
10,处方我评栏目点击进去显示发布用户不存在,处方我评栏目点击任意条目进入详细想发布评论显示发布用户不存在红米NOTEMIUI7,审核通过,10,2015-12-25 22:30:41
11,APP发现页面有栏目图标无法显示,如图会议活动和药事管理栏目无法显示图标红米NOTEMIUI7WIFI,审核通过,8,2015-12-25 22:30:41
12,点击进入轮播里面内容中的图片无法正常显示出来,1打开APP2成功登入3点击进入轮播查看页面图片,审核通过,4,2015-12-25 22:33:56
13,点击进入轮播里面内容分享至QQ好友没有显示分享成功,1打开APP2成功登入3点击进入轮播分享页面内容,审核通过,4,2015-12-25 22:33:56
14,点击进入轮播评论内容在评论栏内输入空格也能显示评论成功,1打开APP2成功登入3点击进入轮播评论内容输入空格,审核通过,2,2015-12-25 22:33:56
15,点击进入药师互助查看给内容发表的图片图片无法正常显示,1打开APP2成功登入3点击进入药师互助查看发表的内容图片,审核通过,10,2015-12-25 22:33:56
16,点击进入患者点击添加患者点击去认证上传照片时会自动跳回首页界面,1打开APP2成功登入3点击进入患者点击添加患者点击去认证上传照片,审核通过,13,2015-12-25 22:33:56
17,登陆后在发现页面停留数秒后闪退查看其它页面也会出现闪退,登陆后在发现页面停留数秒后闪退查看其它页面也会出现闪退,审核通过,10,2015-12-25 22:41:35
18,APP中发现页面有图片不能显示,打开APP输入账号密码登录首页点击发现下面会议活动图片不能显示,审核通过,12,2015-12-25 23:24:33
19,APP中发现上面的那个大图片第3个点进去测试测试图片不能显示,打开APP输入账号密码登录首页点发现上面大图片第3个点击进去是测试测试图片不能显示,审核通过,12,2015-12-25 23:24:33
20,APP中的我回复的话题那点进去看测试测试会是两个问号,打开APP输入密码账号登录首页点我在回复话题那点进去移到测试测试那图片点进去是问号,审核通过,12,2015-12-25 23:24:33
21,使用测试账号或者注册账号成功后一登录就提示更新,用测试账号一登录就提示更新即使在官网下载也是如此吗,审核通过,5,2015-12-25 23:39:21
22,进入个人中心设置选项中更新最新版本无法安装,打开软件个人中心设置版本更新更新成功安装失败无法更新最新版本,审核通过,5,2015-12-25 23:41:30
23,在发现页选择话题广场选择任意一个条目进入在打开的页中选择任一主题点击在打开的主题中点击右上角分享选择新浪微博会显示错误页,在发现页选择话题广场选择任意一个条目进入在打开的页中选择任一主题点击在打开的主题中点击右上角分享选择新浪微博会显示错误页,审核通过,4,2015-12-25 23:56:18
24,注册时输入无效手机号码后提示语不正确,比如输入的是13005195809后面跟了若干个小数点这个时候点发送短信会弹出一个错误提示为2我们是用户又不是专业人员看不懂2什么意思干嘛不把提示人性化些,审核通过,14,2015-12-25 23:57:55
25,注册页面输入13位数的错手机号获取验证码成功且提示2,1进入登录页面点击注册2输入13开头的超过11位数字的手机号如13232323232323点击获取验证码,审核通过,3,2015-12-26 00:11:39
26,完善个人信息页面昵称或单件输入空格提示语前显示参数有问题,1注册成功后进入完善资料页面2昵称一栏输入空格输入单位点击提交,审核通过,14,2015-12-26 00:11:39
