id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,第三方登录失败定位失败,第三方登录失败定位失败无法查询附近医院,审核通过,8,2015-12-18 21:06:12
2,未喊急救状况下退出地理位置影响本次急救提示,未喊急救状况下进入地理位置选项后按返回键出现退出地理位置会影响本次急救提示红米NOTEMIUI7WIFI,审核通过,14,2015-12-18 21:12:43
3,出现正在重新建立连接提示并有概率卡死,未喊急救状况下进入地理位置选项后静置不动手机便出现正在重新建立连接提示不按返回键不消失有一定概率APP卡死红米NOTEMIUI7WIFI,审核通过,30,2015-12-18 21:12:43
4,地理位置选项中按键失效,进入地理位置点击左下方红色羽毛右边第一个定位按键失效红米NOTEMIUI7WIFI,审核通过,14,2015-12-18 21:12:43
5,出现网络或服务器错误提示,未喊急救状况下进入地理位置选项后静置不动手机便出现正在重新建立连接提示之后回主界面选择呼救后会进入完善信息选项提交显示网络或服务器错误红米NOTEMIUI7WIFI,审核通过,10,2015-12-18 21:12:43
6,无法进行本人呼救显示网络或服务器错误,首页点击本人呼救提示网络或服务器错误红米NOTEMIUI7WIFI,审核通过,10,2015-12-18 21:12:43
7,无法进行远程诊断显示网络或服务器错误,首页点击远程诊断提示网络或服务器错误红米NOTEMIUI7WIFI,审核通过,10,2015-12-18 21:12:43
8,登陆后完善信息带的都填写了还是无法提交而且手机号点击没反应无法输入,手机登陆后自动弹出完善信息填完带的后点击提交无法提交说要输入手机号点击手机号没有弹出输入法无法输入手机号,审核通过,24,2015-12-18 21:15:36
9,登陆进入主菜单点击急救状态无任何反应,登陆进入主菜单点击急救状态无任何反应无法进入急救页面,审核通过,9,2015-12-18 21:31:30
10,登陆进入主菜单点击记录查询无任何反应,登陆进入主菜单点击记录查询无任何反应无法查看记录详情,审核通过,26,2015-12-18 21:31:30
11,主页最下两个按钮未显示,主页最下两个按钮未显示还不能向上滑动,审核通过,20,2015-12-18 21:37:09
12,个人信息里点击应用分享选择信息显示正在转换为彩信此时按返回键显示分享成功但未进行分享,个人信息里点击应用分享选择信息显示正在转换为彩信此时按返回键显示分享成功但未进行分享,审核通过,19,2015-12-18 21:37:09
13,点击附近医院同时截屏则页面会显示未完成加载,点击附近医院同时截屏则页面会显示未完成加载,审核通过,6,2015-12-18 21:37:09
14,在欢迎页点击登录体验点击微信登录提示正在拉起授权页面然后无反应无任何提示未安装微信情况下,在欢迎页点击登录体验点击微信登录提示正在拉起授权页面然后无反应无任何提示未安装微信情况下,审核通过,25,2015-12-18 21:37:09
15,在欢迎页点击溜达溜达进入后点击个人信息点击登录无任何反应,在欢迎页点击溜达溜达进入后点击个人信息点击登录无任何反应,审核通过,31,2015-12-18 21:37:09
16,点击在线支付出现的选项中支付宝和微信支付点击都无反应,点击在线支付出现的选项中支付宝和微信支付点击都无反应,审核通过,7,2015-12-18 21:37:09
17,点击地理位置点击红色羽毛按钮出现的选项中除了录音能用其余选项点击都无反应,点击地理位置点击红色羽毛按钮出现的选项中除了录音能用其余选项点击都无反应微任务无法添加更多图片,审核通过,14,2015-12-18 21:37:09
18,点击地理位置切换程序重新切换回来后一直显示正在重新建立连接,点击地理位置切换程序重新切换回来后一直显示正在重新建立连接图片在上传要求的截图里提交的,审核通过,30,2015-12-18 21:37:09
19,首页里急救状态记录查询远程诊断点击后都无反应,首页里急救状态记录查询远程诊断点击后都无反应,审核通过,16,2015-12-18 21:37:09
20,注册有问题随便输入个手机号密码就填了1位的密码点一下注册居然也成功了如果这样就可以的话也没有验证也没有密码位数限制这对用户的安全方面来说你感觉合适吗,注册有问题随便输入个手机号密码就填了1位的密码点一下注册居然也成功了如果这样就可以的话也没有验证也没有密码位数限制这对用户的安全方面来说你感觉合适吗,审核通过,12,2015-12-18 22:16:39
21,急救状态记录查询远程诊断功能缺失,急救状态记录查询远程诊断功能缺失急救状态记录查询远程诊断功能缺失华为4XWIFI,审核通过,16,2015-12-18 22:17:10
22,安装成功后打开应用使用第三方微博登陆出现一直加载现象无法登陆,安装成功后打开应用使用第三方微博登陆出现一直加载现象无法登陆,审核通过,23,2015-12-18 22:24:37
23,启动app溜达溜达地理位置在地图上放大缩小任意操作不知道哪一步导致了app挂掉了有截图,启动app溜达溜达地理位置在地图上放大缩小任意操作不知道哪一步导致了app挂掉了有截图,审核通过,18,2015-12-18 22:28:55
24,启动app溜达溜达地理位置在这个页面稍微停留一会随便点一下页面中的功能然后就会弹出正在重新建立连接网络并没有中断为何突然重新建立连接,启动app溜达溜达地理位置在这个页面稍微停留一会随便点一下页面中的功能然后就会弹出正在重新建立连接网络并没有中断为何突然重新建立连接,审核通过,30,2015-12-18 22:28:55
25,启动app溜达溜达地理位置左下角红色图标点录音图标按住下方的按住录音然后说话app并不能正常实现录音功能,启动app溜达溜达地理位置左下角红色图标点录音图标按住下方的按住录音然后说话app并不能正常实现录音功能,审核通过,18,2015-12-18 22:28:55
26,启动app溜达溜达地理位置左下角红色图标点相机图标app没反应也不说错误也不说要登录或者要怎么样的就是一点反应都没,启动app溜达溜达地理位置左下角红色图标点相机图标app没反应也不说错误也不说要登录或者要怎么样的就是一点反应都没,审核通过,18,2015-12-18 22:28:55
27,启动app溜达溜达地理位置左下角红色图标点红色图标左上角第三个评论样子的图标app没反应也不说错误也不说要登录或者要怎么样的就是一点反应都没,启动app溜达溜达地理位置左下角红色图标点红色图标左上角第三个评论样子的图标app没反应也不说错误也不说要登录或者要怎么样的就是一点反应都没,审核通过,18,2015-12-18 22:28:55
28,启动app溜达溜达地理位置左下角红色图标点红色图标左上角第四个像定位样子的图标app没反应也不说错误也不说要登录或者要怎么样的就是一点反应都没,启动app溜达溜达地理位置左下角红色图标点红色图标左上角第四个像定位样子的图标app没反应也不说错误也不说要登录或者要怎么样的就是一点反应都没,审核通过,18,2015-12-18 22:28:55
29,启动app溜达溜达在线支付会弹出支付宝支付和微信支付点任何一个app都没反应连任何提示信息都没有如果要,启动app溜达溜达在线支付会弹出支付宝支付和微信支付点任何一个app都没反应连任何提示信息都没有,审核通过,1,2015-12-18 22:28:55
30,启动app溜达溜达急救状态app没反应这个功能做什么的啊至少给个提示比如登陆才能使用之类的,启动app溜达溜达急救状态app没反应这个功能做什么的啊至少给个提示比如登陆才能使用之类的,审核通过,22,2015-12-18 22:28:55
