id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,在“我的设备”里，“健康管理模型”以及“plc-5.6”均为空白，无法正确加载。,在“我的设备”里，“健康管理模型”以及“plc-5.6”均为空白，无法正确加载。,审核通过,22,2015-12-29 17:24:04
2,内容过于简单，无使用说明，英文显示不方便,内容过于简单，无使用说明，英文显示不方便，直接进入的首页已经是登录状态,审核不通过,23,2015-12-29 17:24:31
3,没有登陆的选项，测试帐号找不到输入的地方,没有登陆的选项，测试帐号找不到输入的地方，酷派9150，安卓4.1,审核不通过,4,2015-12-29 17:24:41
4,没有测试帐号的输入选项。,没有测试帐号的输入选项。华为p6，安卓4.4,审核不通过,4,2015-12-29 17:24:49
5,所有的左上角返回菜单都无法使用,从主菜单“异常信息”“数据统计”“设置”等点击进去，所有的左上角返回菜单都无法返回，点击无反应。,审核通过,20,2015-12-29 17:24:59
6,数据统计：点击数据统计后，输入起始时间和结束时间后，未选择设备和参数信息，点击查看，系统未给出任何提示信息,数据统计：点击数据统计后，输入起始时间和结束时间后，未选择设备和参数信息，点击查看，系统未给出任何提示信息,审核通过,19,2015-12-29 17:25:08
7,数据统计：点击数据统计后，进入数据统计页面，输入的结束时间早于起始时间，点击查看系统未给出提示信息,数据统计：点击数据统计后，进入数据统计页面，输入的结束时间早于起始时间，点击查看系统未给出提示信息,审核通过,19,2015-12-29 17:25:14
8,数据统计：（建议）起始时间和结束时间的默认值，建议结束时间默认今天凌晨时间，即今天日期+1,数据统计：（建议）起始时间和结束时间的默认值，建议结束时间默认今天凌晨时间，即今天日期+1,审核不通过,19,2015-12-29 17:25:25
9,数据统计：选择设备、参数（所有的参数及设备遍历），输入当天的时间，时间范围为当天时间内或者修改时间范围后，点击查看，系统无反应，无任何查询结果，如果没有结果建议显示为没有符合条件的结果,数据统计：选择设备、参数（所有的参数及设备遍历），输入当天的时间，时间范围为当天时间内或者修改时间范围后，点击查看，系统无反应，无任何查询结果，如果没有结果建议显示为没有符合条件的结果,审核通过,19,2015-12-29 17:25:30
10,实时数据显示：选择设备后，点击设备查看实时数据，系统有一段空白页面，建议给出缓冲标识一直持续到数据加载出来,实时数据显示：选择设备后，点击设备查看实时数据，系统有一段空白页面，建议给出缓冲标识一直持续到数据加载出来,审核通过,7,2015-12-29 17:25:34
11,"登录软件，进入界面
点击健康管理和plc切换不了","登录软件，进入界面，点击健康管理和plc这两个界面转换不了
点击进入也没有数据",审核不通过,18,2015-12-29 17:25:44
12,提供的用户名和密码，无法登陆，提示“用户名或密码错误”,提供的用户名和密码，无法登陆，提示“用户名或密码错误”,审核不通过,4,2015-12-29 17:26:02
13,未登陆，就显示的退出登陆。。。。。。。,打开app，在未登陆输入 用户名、密码的情况下，就显示的退出登陆，且个人信息里面啥信息也没有。。。。重新退出后，输入用户名和密码个人信息里才有内容,审核不通过,12,2015-12-29 17:26:15
14,个人信息点击开无法更改内容。。。。。。。。。。。。,点击设置，个人信息点击开，希望设置邮箱、电话、地址，无法输入设置哦。。。。。。。。。。。。,审核不通过,11,2015-12-29 17:26:29
15,“刷新频率”无法保存。。。。。。。,点击我的设备----设置----刷新频率，选择3s，确定后再次打开，看不到之前的选择是几秒钟,审核不通过,10,2015-12-29 17:26:36
16,首页只有登录，没有注册。。。。。。,首页只有登录，没有注册。。。。。。。。。。。。。。。。。。。。。。。。,审核不通过,24,2015-12-29 17:26:47
17,打开软件后，设置模块显示已登录,打开软件后，设置模块那显示已登录，只能进行退出登录操作？为什么安装软件后会直接登录？用户名和密码是什么?,审核通过,24,2015-12-29 17:26:57
18,点击左侧菜单栏，进入子菜单后，按手机返回键，不是返回主菜单,点击左侧菜单栏，进入子菜单后，按手机返回键，不是返回主菜单，而是提示是否退出。但是大多说人在子菜单按返回键是想退会主菜单，如果他是想退出软件，就不会进入子菜单了。希望程序员可以修改一下这个设定，提升用户体验。,审核不通过,21,2015-12-29 17:27:05
19,我使用的是红米1s电信版，打开app后，无用户登录界面,我使用的是红米1s电信版，打开app后，无用户登录界面,审核不通过,24,2015-12-29 17:27:14
20,"登陆：
    用户名：test
    密码：123456

提示密码错误","登陆：
    用户名：test
    密码：123456

提示密码错误",审核通过,12,2015-12-29 17:27:25
21,点击数据统计中的查看按钮没有反应,点击书及统计连接后，计入数据统计，然后填写信息后点击查看。没有任何反应,审核通过,5,2015-12-29 17:27:36
22,数据统计中某时段设备的数据，点击查看没有反应,"打开app,点击数据统计，选择设备和参数，调整时间，点击查看，没有反应",审核通过,5,2015-12-29 17:27:46
23,数据统计中的开始时间可以大于结束时间，点击查询无反应,点击进入数据统计，选择开始时间大于结束时间，开始时间可以大于结束时间，点击查询无反应,审核通过,19,2015-12-29 17:27:58
24,我的设备健康管理模型中的折线图横坐标能刷新出时间，但plc5.6中不能,我的设备，实时数据中健康管理模型中的折线图横坐标能刷新出时间，但plc5.6中不能,审核不通过,22,2015-12-29 17:28:05
25,"一点击微任务
二点击移动项目测试
三点击bchms传输设备实时监控系统 下载 安装 打开
四 点击个人信息 点击用户名 
五 无法录入任何信息","一点击微任务
二点击移动项目测试
三点击bchms传输设备实时监控系统 下载 安装 打开
四 点击个人信息 点击用户名 
五 无法录入任何信息",审核不通过,11,2015-12-29 17:28:12
26,设置里 选择刷新频率，设置刷新频率为3s，点击确定。再次点击刷新频率，之前设置好的值并未被勾选，无法得知当前设置的刷新频率。,设置里 选择刷新频率，设置刷新频率为3s，点击确定。再次点击刷新频率，之前设置好的值并未被勾选，无法得知当前设置的刷新频率。,审核不通过,10,2015-12-29 17:28:18
27,无登录界面.............,无登录界面.............无登录界面.............,审核不通过,24,2015-12-29 17:28:22
28,点击我的设备，选择plc-5、6，数据显示界面不能自适应手机屏幕，界面内容显示不全,点击我的设备，选择plc-5、6，数据显示界面不能自适应手机屏幕，界面内容显示不全,审核通过,18,2015-12-29 17:28:39
29,打开软件中的数据统计，一直处于缓冲状态，长时间打不开。,打开软件中的数据统计，一直处于缓冲状态，长时间打不开。打开软件中的数据统计，一直处于缓冲状态，长时间打不开。,审核通过,7,2015-12-29 17:28:47
