id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,打开app输入手机号码确认支付输入密码返回软件页面提示支付失败,打开app输入手机号码确认支付输入密码返回软件页面提示支付失败,审核通过,6,2016-01-02 17:07:16
2,软件安装手机盾软件手机看到修改密保,软件安装手机盾软件手机看到修改密保,审核通过,8,2016-01-02 17:08:03
3,打开app输入手机号码软件小化小化页面打开清空输入手机号,打开app输入手机号码软件小化小化页面打开清空输入手机号,审核通过,6,2016-01-02 17:08:16
4,打开app输入手机号码输入密码时候输错密码需要解锁点击解锁进入页面显示加载加载加载显示密保重置密码页面,打开app输入手机号码输入密码时候输错密码需要解锁点击解锁进入页面显示加载加载加载显示密保重置密码页面,审核通过,20,2016-01-02 17:08:31
5,打开app输入手机号码软件小化小化页面打开清空输入手机号,打开app输入手机号码软件小化小化页面打开清空输入手机号,审核通过,6,2016-01-02 17:08:42
6,打开app输入手机号码确认支付点击密码输入框出现数字键盘数字排列使用输入错误,打开app输入手机号码确认支付点击密码输入框出现数字键盘数字排列使用输入错误,审核通过,0,2016-01-02 17:08:53
7,打开app输入手机号码确认支付进入插件页面时间走完提示软件收到数据请求再试,打开app输入手机号码确认支付进入插件页面时间走完提示软件收到数据请求再试,审核通过,6,2016-01-02 17:09:08
8,打开下载手机盾输入手机号点击初始化抛出,打开下载手机盾输入手机号点击初始化抛出,审核通过,14,2016-01-04 17:18:13
9,上步骤进入内容测试,上步骤进入内容测试设置密码步骤进行,审核不通过,20,2016-01-04 17:18:45
10,输入手机号码点击确认无反应,输入手机号码点击确认无反应进去,审核通过,15,2016-01-04 17:19:32
11,启动手机盾提示sdk初始化抛出,手机号安装手机盾确认支付启动手机盾提示sdk初始化抛出,审核通过,14,2016-01-04 17:19:46
12,密保设置提交,进入密保设置选择密保问题输入密保问题答案提交出现session合法字样,审核通过,12,2016-01-04 17:20:00
13,密保问题设置登陆,密保问题设置登陆后面操作进行,审核通过,12,2016-01-04 17:20:14
