id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,当点击打开软件的时候，显示“很抱歉，”flashlight“已停止运行”。,当点击打开软件的时候，显示“很抱歉，”flashlight“已停止运行”。,审核通过,7,2015-12-25 22:37:44
2,第二次在众测微任务打开手电筒强制退出,第二次打开正常，第二次就强制退出。手机是华为c8818，android4.4.4，试了三次都是这样。,审核通过,21,2015-12-25 22:37:56
3,"兼容性有问题,一次打开退出后,再次进入出错","第一次从百度微任务打开测试后按系统的返回键退出,再次打开时弹出flashlight已停止运行提示",审核通过,19,2015-12-25 22:38:05
4,不知道做这个软件干什么用。,界面漆黑一片，没有美感可言。建议做成一个插件合集。,审核通过,20,2015-12-25 22:38:17
5,安装好，点开     只有开启，，关闭，，开关好用，只是出现几次闪退，不稳定,安装好，点开     只有开启，，关闭，，开关好用，只是出现几次闪退，不稳定,审核通过,16,2015-12-25 22:38:34
6,首次打开软件显示打开与关闭按钮，页面其他地方黑屏；设计不好,首次打开软件显示打开与关闭按钮，页面其他地方黑屏；设计不好,审核通过,0,2015-12-25 23:12:08
7,进入软件点击打开手电筒后切回桌面，再打开软件系统崩溃,"1.进入软件点击打开手电筒后切回桌面，
2.再点击打开软件时系统崩溃",审核通过,8,2015-12-25 23:12:20
8,"进入软件后点击手机返回按钮直接退出app,没有提示”再点击一次退出app""","进入软件后点击手机返回按钮直接退出app,没有提示”再点击一次退出app""",审核通过,4,2015-12-25 23:12:30
9,进入软件页面点击关闭按钮没提示,"1.从微任务页面打开软件
2.点击关闭按钮，点击没提示；期望结果：提示手电筒未开启",审核通过,15,2015-12-25 23:12:40
10,软件页面建议设置一个手电筒图标,建议手电筒软件可设置成手电筒图标显示在页面，可自由关闭，样式美观，软件包设置为手电筒图标，让人一看就知道是手电筒；,审核通过,12,2015-12-25 23:12:53
11,"一 点击百度微任务
二点击移动项目测试
三点击手电筒测试 下载安装
四打开手电筒 
五手电筒出现闪退","一 点击百度微任务
二点击移动项目测试
三点击手电筒测试 下载安装
四打开手电筒 
五手电筒出现闪退",审核通过,16,2015-12-25 23:13:10
