id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,手机注册华为账号时随意输入任意数字后点击下一步未显示手机输入错误，而显示获取验证码失败,进入主页面，点击网盘，点击立即启用，点击注册，随意输入数字，点击下一步,待审核,7,2016-03-03 16:11:39
2,登录界面不输入账号密码，点击登录无反应，应该显示请输入正确的账号密码,进入主页面，点击网盘，点击立即启用，点击登录后进入界面，点击登录,待审核,7,2016-03-03 16:11:39
3,登录界面只输入密码，点击登录无反应，应该显示请输入账号,进入主页面，点击网盘，点击立即启用，点击登录后进入界面，输入密码，点击登录,待审核,7,2016-03-03 16:11:39
4,登录界面只输入账号，点击登录无反应，应该显示请输入密码,进入主页面，点击网盘，点击立即启用，点击登录后进入界面，输入账号，点击登录,待审核,7,2016-03-03 16:11:39
5,忘记密码界面随意输入账号，点击下一步，应显示你输入的账号不正确，不应显示账号不存在,进入主页面，点击网盘，点击立即启用，点击登录后进入界面，点击忘记密码,待审核,7,2016-03-03 16:11:39
6,登录账号后点击网盘，一直在加载状态，无法显示内容,进入主页面，点击网盘，登录账号和密码，下一步后进入网盘,待审核,7,2016-03-03 16:11:39
7,登录账号后点击网盘，点击下方搜索，一直显示加载状态,进入主页面，点击网盘，登录账号和密码，下一步后进入网盘，点击搜索,待审核,7,2016-03-03 16:11:39
8,登录账号后点击网盘，点击下方搜索，后退后一直加载无法操作,进入主页面，点击网盘，登录账号和密码，下一步后进入网盘，点击搜索，点击后退,待审核,7,2016-03-03 16:11:39
9,进入首页，点击下方的内部存储按钮，应用崩溃,进入首页，点击下方的内部存储按钮，应用发生崩溃，如截图所示,审核通过,11,2016-03-04 01:52:39
10,进入首页，点击页面最下方的按钮，在弹出来的对话框中选择设置，点击之后，应用崩溃,进入首页，点击页面最下方的按钮，在弹出来的对话框中选择设置，点击之后，应用崩溃，如截图所示,审核不通过,11,2016-03-04 01:54:17
11,进入首页，点击保密柜按钮，应用程序发生崩溃,进入首页，点击保密柜按钮，应用程序发生崩溃，如截图所示,审核不通过,11,2016-03-04 01:54:25
12,在首页中，点击图片，选择camera中的任意一张图片，点击图片，应用程序崩溃,在首页中，点击图片，选择camera中的任意一张图片，点击图片，应用程序崩溃，如截图所示,审核不通过,11,2016-03-04 01:54:28
